City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Moussoro,TD,82.24,clear sky,13.6408,16.4901,Hôtel Salama
622,Taganak,PH,77.14,overcast clouds,6.0833,118.3,Taganak
636,Uran,IN,76.96,clear sky,18.8769,72.9397,Hotel Uran Plaza
638,Manuk Mangkaw,PH,80.37,overcast clouds,4.8,119.85,
639,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
642,South Venice,US,76.98,haze,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
647,Banjar,ID,76.91,light rain,-8.19,114.9675,The Hamsa Resort
649,Riberalta,BO,79.0,broken clouds,-10.9833,-66.1,Hotel Colonial
650,Caravelas,BR,81.45,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
654,Bombay,IN,76.98,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
659,Satipo,PE,80.65,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
660,Sharjah,AE,75.36,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
665,Duartina,BR,79.95,overcast clouds,-22.4144,-49.4039,Hotel Mattos Guimaro
670,Namatanai,PG,79.75,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
679,Vanimo,PG,77.27,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
683,Umm Kaddadah,SD,77.92,clear sky,13.6017,26.6876,
687,Katobu,ID,75.7,broken clouds,-4.9408,122.5276,La Ode Husein
689,Cabanas,CU,77.56,clear sky,22.9758,-82.9219,Villa Luis Montesino y Anabel
691,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
692,Omboue,GA,82.8,light rain,-1.5746,9.2618,Hotel Olako
693,Mayumba,GA,78.78,overcast clouds,-3.432,10.6554,LIKWALE LODGE
694,Alugan,PH,75.36,overcast clouds,12.2188,125.4808,JM Lodge
