City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Descritption,Date
139,Baft,29.234,56.6057,52.65,30,0,6.55,IR,clear sky,2022-02-04 14:42:59
140,Bethel,41.3712,-73.414,38.93,90,100,1.01,US,light rain,2022-02-04 14:41:20
141,Ajdabiya,30.7554,20.2263,58.24,55,10,15.55,LY,clear sky,2022-02-04 14:42:59
142,Luderitz,-26.6481,15.1594,76.68,58,4,15.84,NA,clear sky,2022-02-04 14:42:59
143,Hobart,-42.8794,147.3294,60.26,84,100,5.75,AU,overcast clouds,2022-02-04 14:42:59
144,Pangnirtung,66.1451,-65.7125,-14.8,70,75,16.11,CA,broken clouds,2022-02-04 14:43:00
145,Nouadhibou,20.931,-17.0347,78.78,25,4,9.22,MR,clear sky,2022-02-04 14:43:00
146,Ratnagiri,16.9833,73.3,72.21,63,57,5.88,IN,broken clouds,2022-02-04 14:39:20
147,Khorixas,-20.3667,14.9667,80.76,45,81,9.51,NA,broken clouds,2022-02-04 14:43:00
148,Thessalon,46.2501,-83.5666,-5.04,79,67,6.2,CA,broken clouds,2022-02-04 14:42:16
149,Palembang,-2.9167,104.7458,77.09,94,40,3.44,ID,scattered clouds,2022-02-04 14:43:01
150,Harper,4.375,-7.7169,84.67,65,84,10.27,LR,broken clouds,2022-02-04 14:43:01
151,Kinablangan,7.6947,126.5503,74.84,82,100,4.21,PH,overcast clouds,2022-02-04 14:43:01
152,Dalbandin,28.8947,64.4101,56.12,19,0,6.04,PK,clear sky,2022-02-04 14:43:02
153,Praxedis Guerrero,31.3667,-106.0167,23.29,64,2,4.14,MX,clear sky,2022-02-04 14:43:02
154,Porto Novo,6.4965,2.6036,89.42,49,5,11.79,BJ,clear sky,2022-02-04 14:43:02
155,Skibbereen,51.55,-9.2667,45.1,65,70,18.99,IE,broken clouds,2022-02-04 14:43:03
156,Nanortalik,60.1432,-45.2371,12.09,78,100,45.05,GL,light snow,2022-02-04 14:39:55
157,Namibe,-15.1961,12.1522,77.77,60,84,14.03,AO,broken clouds,2022-02-04 14:43:03
158,Araouane,18.9048,-3.5265,82.33,7,0,9.13,ML,clear sky,2022-02-04 14:43:04
159,Padang,-0.9492,100.3543,75.25,93,100,3.47,ID,overcast clouds,2022-02-04 14:43:04
160,Bluff,-46.6,168.3333,49.8,70,73,12.66,NZ,broken clouds,2022-02-04 14:43:04
161,Mogadishu,2.0371,45.3438,82.27,74,0,20.71,SO,clear sky,2022-02-04 14:43:04
162,Tasiilaq,65.6145,-37.6368,17.76,58,100,29.1,GL,light snow,2022-02-04 14:43:05
163,Mount Gambier,-37.8333,140.7667,55.31,94,8,8.05,AU,clear sky,2022-02-04 14:38:33
164,Eenhana,-17.4667,16.3333,83.59,38,89,2.33,NA,overcast clouds,2022-02-04 14:43:05
165,Touros,-5.1989,-35.4608,86.9,55,78,16.96,BR,broken clouds,2022-02-04 14:43:05
166,Bredasdorp,-34.5322,20.0403,73.27,46,43,14.97,ZA,scattered clouds,2022-02-04 14:43:06
167,Iringa,-7.7667,35.7,64.65,90,100,1.83,TZ,light rain,2022-02-04 14:43:06
168,Roald,62.5833,6.1333,38.91,80,75,20.71,NO,thunderstorm,2022-02-04 14:43:06
169,Dubbo,-32.25,148.6167,57.33,77,0,8.05,AU,clear sky,2022-02-04 14:39:55
170,Shache,38.4167,77.2406,29.05,39,7,6.55,CN,clear sky,2022-02-04 14:43:07
171,Buchanan,5.8808,-10.0467,91.36,59,12,13.71,LR,few clouds,2022-02-04 14:38:53
172,Banda Aceh,5.5577,95.3222,80.06,78,72,6.42,ID,broken clouds,2022-02-04 14:43:07
173,Ponta Do Sol,32.6667,-17.1,73.0,78,87,2.33,PT,overcast clouds,2022-02-04 14:38:17
174,Enid,36.3956,-97.8784,13.14,73,0,4.0,US,clear sky,2022-02-04 14:40:29
175,Linxia,35.6003,103.2064,17.8,82,100,3.04,CN,overcast clouds,2022-02-04 14:43:08
176,Rajampet,14.1833,79.1667,77.77,45,32,2.13,IN,scattered clouds,2022-02-04 14:43:08
177,Christchurch,-43.5333,172.6333,56.91,92,100,1.99,NZ,overcast clouds,2022-02-04 14:39:24
178,Gweta,-20.1833,25.2333,86.18,41,66,6.85,BW,light rain,2022-02-04 14:43:08
179,Trincomalee,8.5711,81.2335,79.45,67,11,9.66,LK,few clouds,2022-02-04 14:43:09
180,Hithadhoo,-0.6,73.0833,82.33,73,44,11.32,MV,scattered clouds,2022-02-04 14:38:21
181,Ust-Tsilma,65.441,52.1498,-4.52,100,89,2.62,RU,overcast clouds,2022-02-04 14:44:09
182,Gao,16.6362,1.637,81.84,7,0,15.17,ML,clear sky,2022-02-04 14:44:09
183,Sarangani,5.4033,125.4636,80.02,74,100,20.62,PH,light rain,2022-02-04 14:44:10
184,Kuala Terengganu,5.3302,103.1408,82.35,78,40,11.5,MY,scattered clouds,2022-02-04 14:44:10
185,Shitanjing,39.2342,106.3439,15.69,36,14,2.84,CN,few clouds,2022-02-04 14:44:10
186,Riyadh,24.6877,46.7219,82.54,17,2,8.19,SA,clear sky,2022-02-04 14:41:46
187,Ugoofaaru,5.6667,73.0,81.7,70,75,10.8,MV,broken clouds,2022-02-04 14:44:11
188,Sechura,-5.5569,-80.8222,76.62,63,36,6.82,PE,scattered clouds,2022-02-04 14:39:44
189,Henties Bay,-22.116,14.2845,69.85,72,1,12.71,NA,clear sky,2022-02-04 14:44:11
190,Rozhdestveno,53.2375,50.0597,27.59,96,100,6.67,RU,overcast clouds,2022-02-04 14:44:11
191,Ola,59.5833,151.2833,-4.5,79,88,11.65,RU,overcast clouds,2022-02-04 14:44:12
192,Taoudenni,22.6783,-3.9836,82.99,5,29,13.02,ML,scattered clouds,2022-02-04 14:44:12
193,Ilhabela,-23.7781,-45.3581,81.05,81,95,6.13,BR,moderate rain,2022-02-04 14:44:12
194,Tres Arroyos,-38.3739,-60.2798,80.04,40,100,2.01,AR,moderate rain,2022-02-04 14:44:13
195,Tessalit,20.1986,1.0114,78.93,7,0,16.26,ML,clear sky,2022-02-04 14:44:13
196,Staritsa,56.5075,34.9354,15.87,96,100,3.6,RU,overcast clouds,2022-02-04 14:44:13
197,Laguna,38.421,-121.4238,47.77,92,0,0.0,US,mist,2022-02-04 14:44:14
198,Lagos,6.5833,3.75,93.52,42,12,9.98,NG,few clouds,2022-02-04 14:42:10
199,Bengkulu,-3.8004,102.2655,73.89,97,100,6.31,ID,light rain,2022-02-04 14:44:14
200,Tuatapere,-46.1333,167.6833,49.82,86,100,4.72,NZ,overcast clouds,2022-02-04 14:44:14
201,Sioux Lookout,50.1001,-91.917,-19.82,75,20,0.0,CA,few clouds,2022-02-04 14:43:01
202,Barrow,71.2906,-156.7887,-29.18,75,0,5.75,US,clear sky,2022-02-04 14:44:15
203,Port Keats,-14.25,129.55,80.58,83,99,5.28,AU,overcast clouds,2022-02-04 14:44:15
204,Ancud,-41.8697,-73.8203,61.43,76,88,2.13,CL,overcast clouds,2022-02-04 14:44:15
205,Kruisfontein,-34.0033,24.7314,68.88,58,100,8.86,ZA,overcast clouds,2022-02-04 14:44:16
206,Antofagasta,-23.65,-70.4,72.21,56,31,9.89,CL,scattered clouds,2022-02-04 14:40:37
207,Kalmunai,7.4167,81.8167,76.89,72,8,7.43,LK,clear sky,2022-02-04 14:42:14
208,Lakes Entrance,-37.8811,147.981,53.58,87,68,5.93,AU,broken clouds,2022-02-04 14:44:16
209,Leningradskiy,69.3833,178.4167,-17.21,88,3,5.41,RU,clear sky,2022-02-04 14:44:16
210,Wamba,8.9333,8.6,96.1,9,1,5.93,NG,clear sky,2022-02-04 14:44:17
211,Kailua,21.4022,-157.7394,69.75,87,0,2.46,US,clear sky,2022-02-04 14:44:17
212,San Patricio,28.017,-97.5169,30.61,53,32,20.8,US,scattered clouds,2022-02-04 14:44:17
213,Jinchang,38.4953,102.1739,19.49,34,100,3.58,CN,overcast clouds,2022-02-04 14:44:18
214,Ialibu,-6.2821,143.9935,56.23,98,100,2.73,PG,light rain,2022-02-04 14:44:18
215,Mar Del Plata,-38.0023,-57.5575,75.22,94,75,10.0,AR,broken clouds,2022-02-04 14:44:18
216,Cam Ranh,11.9214,109.1591,75.16,78,40,17.27,VN,scattered clouds,2022-02-04 14:44:19
217,Tena,-0.9833,-77.8167,74.16,73,98,1.95,EC,light rain,2022-02-04 14:44:19
218,Isiro,2.7739,27.616,92.68,23,90,1.01,CD,overcast clouds,2022-02-04 14:44:19
219,Nelson Bay,-32.7167,152.15,70.0,70,91,4.0,AU,overcast clouds,2022-02-04 14:44:19
220,Sete,43.4018,3.6966,60.66,57,66,17.69,FR,broken clouds,2022-02-04 14:44:20
221,Praia Da Vitoria,38.7333,-27.0667,61.05,88,75,10.54,PT,broken clouds,2022-02-04 14:44:20
222,Asekeyevo,53.5742,52.7972,28.27,88,100,10.98,RU,overcast clouds,2022-02-04 14:44:20
223,Ribeira Grande,38.5167,-28.7,61.2,77,40,18.41,PT,scattered clouds,2022-02-04 14:44:21
224,Shengjin,41.8136,19.5939,57.24,44,44,0.58,AL,scattered clouds,2022-02-04 14:44:21
225,Shelburne,44.0787,-80.2041,7.75,85,33,6.71,CA,scattered clouds,2022-02-04 14:44:21
226,Boa Vista,2.8197,-60.6733,87.78,48,40,17.27,BR,scattered clouds,2022-02-04 14:40:09
227,Novyy Urengoy,66.0833,76.6333,9.63,97,98,4.81,RU,overcast clouds,2022-02-04 14:44:22
228,Velke Mezirici,49.3552,16.0122,44.19,47,100,1.99,CZ,overcast clouds,2022-02-04 14:44:22
229,Omsukchan,62.5333,155.8,-17.25,71,85,9.64,RU,overcast clouds,2022-02-04 14:45:22
230,Sur,22.5667,59.5289,72.03,52,21,4.7,OM,few clouds,2022-02-04 14:45:23
231,Tsumeb,-19.2333,17.7167,81.95,59,99,10.18,NA,light rain,2022-02-04 14:45:23
232,Burns Lake,54.2331,-125.7533,22.42,96,100,7.11,CA,overcast clouds,2022-02-04 14:42:15
233,Nisia Floresta,-6.0911,-35.2086,86.81,48,53,13.44,BR,broken clouds,2022-02-04 14:45:24
234,Yingcheng,30.95,113.55,39.25,60,0,5.48,CN,clear sky,2022-02-04 14:45:24
235,Takoradi,4.8845,-1.7554,84.97,61,20,11.63,GH,few clouds,2022-02-04 14:45:24
236,Eureka,40.8021,-124.1637,44.92,87,100,4.5,US,overcast clouds,2022-02-04 14:43:48
237,Troitskiy,57.0603,63.7481,25.12,93,100,7.81,RU,overcast clouds,2022-02-04 14:45:25
238,Pevek,69.7008,170.3133,-23.19,100,95,4.12,RU,overcast clouds,2022-02-04 14:45:25
239,Coquimbo,-29.9533,-71.3436,69.53,68,40,6.91,CL,scattered clouds,2022-02-04 14:45:26
240,Yatou,37.15,122.3833,25.59,56,89,9.86,CN,overcast clouds,2022-02-04 14:45:26
241,Chumikan,54.7183,135.315,-2.72,79,99,11.83,RU,overcast clouds,2022-02-04 14:45:26
242,Torbay,47.6666,-52.7314,41.76,95,100,13.8,CA,moderate rain,2022-02-04 14:41:16
243,Zhytomyr,50.2649,28.6767,19.99,95,95,3.83,UA,overcast clouds,2022-02-04 14:45:27
244,Natal,-5.795,-35.2094,86.65,66,40,16.11,BR,scattered clouds,2022-02-04 14:44:25
245,Quatre Cocos,-20.2078,57.7625,80.71,86,100,16.26,MU,light rain,2022-02-04 14:45:27
246,Barcelos,41.5388,-8.6151,57.29,63,98,7.76,PT,overcast clouds,2022-02-04 14:45:27
247,Tamazunchale,21.2667,-98.7833,43.27,88,100,2.95,MX,overcast clouds,2022-02-04 14:45:28
248,Santa Rosa,14.3122,121.1114,80.58,74,85,13.15,PH,overcast clouds,2022-02-04 14:45:28
249,Katsuura,35.1333,140.3,42.91,88,23,11.43,JP,few clouds,2022-02-04 14:42:32
250,Nagua,19.3832,-69.8474,77.45,88,40,0.0,DO,scattered clouds,2022-02-04 14:45:28
251,Cuernavaca,18.9167,-99.25,68.49,50,0,2.93,MX,clear sky,2022-02-04 14:45:29
252,Hasaki,35.7333,140.8333,28.8,90,99,11.54,JP,overcast clouds,2022-02-04 14:43:15
253,Paita,-5.0892,-81.1144,73.96,69,42,8.28,PE,scattered clouds,2022-02-04 14:45:29
254,Wucheng,29.6008,118.175,36.46,88,38,2.37,CN,scattered clouds,2022-02-04 14:45:29
255,Bara,10.3744,10.7288,85.78,10,0,10.92,NG,clear sky,2022-02-04 14:45:30
256,Pacific Grove,36.6177,-121.9166,51.57,62,0,4.61,US,clear sky,2022-02-04 14:45:30
257,Manzhouli,49.6,117.4333,-9.36,88,8,9.08,CN,clear sky,2022-02-04 14:45:30
258,Maroantsetra,-15.4333,49.7333,81.63,74,100,5.14,MG,overcast clouds,2022-02-04 14:45:31
259,Karratha,-20.7377,116.8463,85.46,68,87,8.25,AU,overcast clouds,2022-02-04 14:45:31
260,Shimoda,34.6667,138.95,39.11,53,0,29.3,JP,clear sky,2022-02-04 14:45:31
