City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Turukhansk,RU,2022-01-29 00:22:02,65.8167,87.9833,-0.4,95,100,11.63
98,Dubti,ET,2022-01-29 00:22:03,11.7361,41.0853,77.09,57,2,7.29
99,Sitka,US,2022-01-29 00:22:03,57.0531,-135.33,42.69,81,100,11.5
100,Cayenne,GF,2022-01-29 00:18:59,4.9333,-52.3333,75.09,90,100,4.61
101,Coihaique,CL,2022-01-29 00:18:31,-45.5752,-72.0662,75.81,22,0,6.91
102,Takoradi,GH,2022-01-29 00:22:04,4.8845,-1.7554,79.34,83,67,4.88
103,Imbituba,BR,2022-01-29 00:17:46,-28.24,-48.6703,70.83,80,100,6.17
104,Buraydah,SA,2022-01-29 00:22:04,26.326,43.975,50.45,36,95,8.88
105,Mogwase,ZA,2022-01-29 00:22:04,-25.185,27.2665,65.7,86,44,5.41
106,Guerrero Negro,MX,2022-01-29 00:18:49,27.9769,-114.0611,72.32,26,23,6.44
107,Ossora,RU,2022-01-29 00:22:05,59.2353,163.0719,33.51,85,100,17.09
108,Rach Gia,VN,2022-01-29 00:22:05,10.0167,105.0833,73.35,84,74,7.54
109,San Ramon,US,2022-01-29 00:19:00,37.7799,-121.978,66.58,52,0,3.0
110,Chuy,UY,2022-01-29 00:18:53,-33.6971,-53.4616,64.67,72,38,6.67
111,Dalnerechensk,RU,2022-01-29 00:22:05,45.9339,133.7225,-2.92,94,85,6.49
112,Luangwa,ZM,2022-01-29 00:22:06,-15.6167,30.4167,71.6,98,100,0.94
113,Faya,SA,2022-01-29 00:22:06,18.3851,42.4509,52.32,91,81,4.61
114,Kodiak,US,2022-01-29 00:22:00,57.79,-152.4072,26.11,74,100,14.97
115,Leningradskiy,RU,2022-01-29 00:22:06,69.3833,178.4167,-11.69,94,57,2.64
116,Ustyuzhna,RU,2022-01-29 00:22:07,58.8394,36.4321,21.42,96,100,4.63
117,Yulara,AU,2022-01-29 00:22:07,-25.2406,130.9889,84.04,45,61,17.27
